id,title,price,region,city,rooms,area_m2,floor,total_floors,year
1010381887,3-комнатная квартира · 61.6 м² · 5/5 этаж,12 920 000〒,Марденова 15,Экибастуз,3,61.6,5.0,5.0,1984.0
690570193,3-комнатная квартира · 70 м² · 4/5 этаж,20 000 000〒,14-й мкр 27 — Возле поликлиники Нейрон,Актау,3,70.0,4.0,5.0,1984.0
699286857,1-комнатная квартира · 27.5 м² · 3/10 этаж,24 500 000〒,"Наурызбайский р-н, Жунисова 8/9 — Төле би",Алматы,1,27.5,3.0,10.0,2020.0
684217519,1-комнатная квартира · 32 м² · 5/6 этаж,10 800 000〒,17-й мкр 90,Актау,1,32.0,5.0,6.0,2020.0
1011680973,6-комнатная квартира · 480 м² · 4/4 этаж,115 000 000〒,376 34,Каргалинское (Жилянка),6,480.0,4.0,4.0,2019.0
1002729260,4-комнатная квартира · 80 м² · 4/5 этаж,23 000 000〒,10 мкр 12 — 10 микрорайон,Тараз,4,80.0,4.0,5.0,1987.0
1009424089,4-комнатная квартира · 82 м² · 4/5 этаж,23 000 000〒,"мкр Аса, Аса ш/а. 12 — 46 мектеп",Тараз,4,82.0,4.0,5.0,1987.0
1010858110,3-комнатная квартира · 67 м² · 2/5 этаж,23 000 000〒,"мкр Авангард-2, Лесхоз 9",Атырау,3,67.0,2.0,5.0,1990.0
1003139905,3-комнатная квартира · 67 м² · 3/5 этаж,19 000 000〒,3 микрооайон 33,Риддер,3,67.0,3.0,5.0,1970.0
1011680923,3-комнатная квартира · 85.8 м² · 10/10 этаж,38 000 000〒,Гашека 5/1,Костанай,3,85.8,10.0,10.0,2025.0
1010506474,2-комнатная квартира · 54 м² · 4/9 этаж,36 000 000〒,"Наурызбайский р-н, Райымбек 590/15 — Апорт Молл",Алматы,2,54.0,4.0,9.0,2025.0
1011263552,2-комнатная квартира · 63.3 м² · 7/13 этаж,60 000 000〒,"Алмалинский р-н, Ауэзова H2 — Толе Би - Ауэзова",Алматы,2,63.3,7.0,13.0,2026.0
1011263540,1-комнатная квартира · 44 м² · 1/9 этаж,18 500 000〒,Аль-Фараби 34,Усть-Каменогорск,1,44.0,1.0,9.0,2017.0
1011263549,1-комнатная квартира · 36.47 м² · 7/8 этаж,29 000 000〒,"Сарайшык р-н, Сагадат Нурмагамбетов 17",Астана,1,36.47,7.0,8.0,2026.0
1009159556,2-комнатная квартира · 48 м² · 2/4 этаж,19 000 000〒,Ибраева 17,Петропавловск,2,48.0,2.0,4.0,1997.0
684378674,3-комнатная квартира · 91.8 м² · 7/10 этаж,41 000 000〒,17-й мкр 85,Актау,3,91.8,7.0,10.0,2020.0
664507519,3-комнатная квартира · 63.5 м² · 5/5 этаж,16 000 000〒,Жайлау 20,Тараз,3,63.5,5.0,5.0,1973.0
682395696,1-комнатная квартира · 32 м² · 6/10 этаж,9 500 000〒,11-й мкр 7 — Напротив ботаническом сада,Актау,1,32.0,6.0,10.0,1990.0
1011680955,3-комнатная квартира · 64.5 м² · 1/5 этаж,22 300 000〒,Левый берег 14,Кызылорда,3,64.5,1.0,5.0,2020.0
1007035553,2-комнатная квартира · 50 м² · 5/5 этаж,20 000 000〒,4 мкр 21дом,Конаев,2,50.0,5.0,5.0,1988.0
1011681367,1-комнатная квартира · 36 м² · 9/9 этаж,24 000 000〒,"Сарыарка р-н, Косшыгулулы 18",Астана,1,36.0,9.0,9.0,2011.0
1011681332,2-комнатная квартира · 73.4 м² · 1/9 этаж,48 000 000〒,Бородина 111,Костанай,2,73.4,1.0,9.0,2024.0
1011681354,1-комнатная квартира · 46 м² · 14/20 этаж,37 260 000〒,"Нура р-н, Туран",Астана,1,46.0,14.0,20.0,2025.0
1011681182,2-комнатная квартира · 52 м² · 4/5 этаж,45 000 000〒,"Алмалинский р-н, Муканова 235 — Кабанбай батыра",Алматы,2,52.0,4.0,5.0,1985.0
1011681350,1-комнатная квартира · 38 м² · 10/12 этаж,21 800 000〒,нажмиденова 6 — жумабаева,Астана,1,38.0,10.0,12.0,2026.0
1011680930,1-комнатная квартира · 30.6 м² · 3/5 этаж,6 000 000〒,ул. Абая,Темиртау,1,30.6,3.0,5.0,1964.0
1011680884,3-комнатная квартира · 61 м² · 8/9 этаж,35 000 000〒,"Казыбек би р-н, Степной-1 4/36",Караганда,3,61.0,8.0,9.0,1985.0
1009959137,2-комнатная квартира · 64 м² · 5/9 этаж,43 900 000〒,Жабаева 106 — Челюскина,Петропавловск,2,64.0,5.0,9.0,2022.0
1002340909,4-комнатная квартира · 147.7 м² · 7/12 этаж,150 000 000〒,Пр.Тайманова 48 — На центральной площади Махамбета,Атырау,4,147.7,7.0,12.0,2020.0
1011680858,3-комнатная квартира · 62 м² · 8/9 этаж,18 000 000〒,Астана 41,Аксу,3,62.0,8.0,9.0,1988.0
1011680848,4-комнатная квартира · 104.5 м² · 6/9 этаж,104 920 000〒,"Сарайшык р-н, Шамши Калдаяков 16 — Депутатский городок, Пирамида",Астана,4,104.5,6.0,9.0,2025.0
1006179039,3-комнатная квартира · 88.6 м² · 2/5 этаж,32 000 000〒,"мкр Нурсая, Мкр. Нурсая 105",Атырау,3,88.6,2.0,5.0,2016.0
1006187855,2-комнатная квартира · 55.3 м² · 9/9 этаж,16 500 000〒,"Нур Актобе, 2 микрорайон 15 В",Актобе,2,55.3,9.0,9.0,2013.0
1011050261,1-комнатная квартира · 34 м² · 3 этаж,20 500 000〒,"Турксибский р-н, мкр 16-й военный городок, Мкр 16-й военный городок 292",Алматы,1,34.0,,,1969.0
1008826668,5-комнатная квартира · 210 м² · 9/10 этаж,160 000 000〒,"Есильский р-н, Сарайшык 38",Астана,5,210.0,9.0,10.0,2007.0
1003204109,2-комнатная квартира · 63.2 м² · 5/5 этаж,25 000 000〒,"мкр. Алтын орда, Халел Досмұхамедұлы — Школа Білім",Актобе,2,63.2,5.0,5.0,2017.0
1008608380,4-комнатная квартира · 84 м² · 2/5 этаж,27 000 000〒,40 лет победы 72 — ТД Легион,Шахтинск,4,84.0,2.0,5.0,1990.0
1009439816,2-комнатная квартира · 49 м² · 1/10 этаж,19 000 000〒,мкр 11 110,Актобе,2,49.0,1.0,10.0,1989.0
1008858011,3-комнатная квартира · 61.9 м² · 2/5 этаж,17 000 000〒,"Алихана Бокейханова р-н, Майкудук, 18й микрорайон 1",Караганда,3,61.9,2.0,5.0,1971.0
1011680847,3-комнатная квартира · 70 м² · 1/9 этаж,45 000 000〒,"Ауэзовский р-н, мкр №2 14 — Толеби саина Аксай 2 куликовский",Алматы,3,70.0,1.0,9.0,1984.0
1011263500,1-комнатная квартира · 17 м² · 3/5 этаж,10 300 000〒,Юбилейный — возле султана сарайы,Костанай,1,17.0,3.0,5.0,2024.0
1011680824,1-комнатная квартира · 29 м² · 1/3 этаж,4 700 000〒,37 37 — Мечеть,Мангистау,1,29.0,1.0,3.0,1978.0
1011681224,1-комнатная квартира · 28.1 м² · 3/9 этаж,14 800 000〒,Уральская 45А,Костанай,1,28.1,3.0,9.0,2023.0
1011471640,3-комнатная квартира · 75 м² · 4/5 этаж,85 000 000〒,"Медеуский р-н, Калдаякова 38",Алматы,3,75.0,4.0,5.0,1992.0
1011680828,2-комнатная квартира · 55 м² · 1/5 этаж,8 000 000〒,мкр 11,Актобе,2,55.0,1.0,5.0,1986.0
1011680823,2-комнатная квартира · 54 м²,29 500 000〒,Наурызбы 31,Каскелен,2,54.0,,,1989.0
1005521354,3-комнатная квартира · 64 м² · 6/9 этаж,25 000 000〒,"Сазда-1, Ғ.Ибатлва 43 — Марата Оспанова",Актобе,3,64.0,6.0,9.0,1983.0
1011472984,1-комнатная квартира · 26 м² · 5 этаж,7 000 000〒,Покрышкина 1а — возле JLC,Талдыкорган,1,26.0,,,2000.0
